user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,TIGO,ZONE1,ZONE2,MRG,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN
00000bfd7d50f01092811bc0c8d7b0d6fe7c3596,FATICK,K > 24 month,4250.0,15.0,4251.0,1417.0,17.0,4.0,388.0,46.0,1.0,1.0,2.0,NO,54,On net 200F=Unlimited _call24H,8.0,0
00000cb4a5d760de88fecb38e2f71b7bec52e834,,I 18-21 month,,,,,,,,,,,,NO,4,,,1
00001654a9d9f96303d9969d0a4a851714a4bb57,,K > 24 month,3600.0,2.0,1020.0,340.0,2.0,,90.0,46.0,7.0,,,NO,17,On-net 1000F=10MilF;10d,1.0,0
00001dd6fa45f7ba044bd5d84937be464ce78ac2,DAKAR,K > 24 month,13500.0,15.0,13502.0,4501.0,18.0,43804.0,41.0,102.0,2.0,,,NO,62,"Data:1000F=5GB,7d",11.0,0
000028d9e13a595abe061f9b58f3d76ab907850f,DAKAR,K > 24 month,1000.0,1.0,985.0,328.0,1.0,,39.0,24.0,,,,NO,11,Mixt 250F=Unlimited_call24H,2.0,0
0000296564272665ccd2925d377e124f3306b01e,LOUGA,K > 24 month,8500.0,17.0,9000.0,3000.0,18.0,,252.0,70.0,91.0,,,NO,62,MIXT:500F= 2500F on net _2500F off net;2d,18.0,0
00002b0ed56e2c199ec8c3021327229afa70f063,LOUGA,K > 24 month,,,,,,,,,,,,NO,2,,,0
0000313946b6849745963442c6e572d47cd24ced,DAKAR,K > 24 month,7000.0,16.0,7229.0,2410.0,22.0,1601.0,77.0,29.0,100.0,,,NO,55,All-net 500F=2000F;5d,8.0,0
0000398021ccd3a488fa1a63dee3b2f0d471f9fd,DAKAR,K > 24 month,1500.0,3.0,1502.0,501.0,12.0,,2.0,53.0,2.0,,,NO,31,,,0
00003d165737109921ebd21f883cb8cff028b626,TAMBACOUNDA,K > 24 month,4000.0,8.0,4000.0,1333.0,8.0,,1620.0,9.0,,,,NO,45,On-net 500F_FNF;3d,8.0,0
0000527d276a6ba8b02810cc2c1d60d25e650f5f,DAKAR,K > 24 month,200.0,1.0,,,,,,,,,,NO,1,,,0
00005b7c61f811e4eef1a05903a4b700afd23e46,KAOLACK,K > 24 month,12650.0,27.0,11870.0,3957.0,36.0,8453.0,431.0,66.0,6.0,,,NO,62,On net 200F=Unlimited _call24H,11.0,0
000068fe2aad763fb2667d253fa4c9e19e3b0636,,G 12-15 month,,,,,,,,,,,,NO,2,,,1
000075053fc8393648ce32568fe4d761048b739f,THIES,K > 24 month,,,1.0,0.0,1.0,,,,,,,NO,26,,,0
000075f0c4dcfdaee3be6cb1dc901d59cb335825,SAINT-LOUIS,K > 24 month,3500.0,7.0,3500.0,1167.0,7.0,,18.0,43.0,2.0,,,NO,11,All-net 500F=2000F;5d,6.0,0
0000801ad1b8c74b57556754b4903942d32161eb,DAKAR,K > 24 month,5400.0,24.0,5890.0,1963.0,29.0,7371.0,,0.0,0.0,,,NO,59,"Data: 100 F=40MB,24H",9.0,0
0000a0d034eb5893f9d50fc4c038fac22e5c8e80,KOLDA,K > 24 month,,,,,,0.0,,,,,,NO,37,,,0
0000a45ed15492427df603217166f1f813a2cc83,,H 15-18 month,,,,,,,,,,,,NO,5,,,1
0000a5b3e2e870e2e194be11ca82c5d9b397ad0c,DAKAR,K > 24 month,7600.0,46.0,7875.0,2625.0,57.0,901.0,10.0,60.0,7.0,,,NO,62,"Data: 100 F=40MB,24H",27.0,0
0000aab8331bd6350a91eae5b79f59675c3496c0,DAKAR,K > 24 month,21200.0,22.0,22202.0,7401.0,27.0,138609.0,0.0,39.0,1.0,,,NO,58,"Data:1000F=5GB,7d",21.0,0
0000acdef1acb2577faad8954069f541961dbfd9,,K > 24 month,200.0,1.0,,,,,,,,,,NO,12,,,0
0000b00bed6ad90fd35d1957f484f9e54990c714,,I 18-21 month,,,,,,0.0,,,,,,NO,36,,,1
0000b4af921db374095a9e7ab87ee314522e4fe4,,K > 24 month,,,,,,,,,,,,NO,4,,,1
0000c0f0fd1a7b922b099a0c5434fa5fff9a6f44,,K > 24 month,5450.0,14.0,5696.0,1899.0,16.0,32.0,586.0,184.0,30.0,,,NO,25,Mixt 250F=Unlimited_call24H,9.0,0
0000cd42663b7542ccac678690d07c73179a5268,,K > 24 month,7600.0,16.0,7599.0,2533.0,19.0,1.0,3491.0,9.0,3.0,0.0,,NO,62,On-net 500F_FNF;3d,9.0,0
0000cfa27c54f3a9c1bca6ec656a52926c52d234,SAINT-LOUIS,K > 24 month,4800.0,12.0,4201.0,1400.0,15.0,0.0,69.0,22.0,15.0,,,NO,62,All-net 500F=2000F;5d,4.0,0
0000cffce7f2e843e81713b089a1253962d2f8fe,THIES,K > 24 month,12000.0,4.0,12002.0,4001.0,6.0,1928.0,1158.0,402.0,37.0,,,NO,62,MIXT: 200mnoff net _unl on net _5Go;30d,2.0,0
0000e159a0edc8ee4c3c5c2a7d1ab6a556cbc964,DAKAR,K > 24 month,31600.0,66.0,32190.0,10730.0,64.0,4199.0,3192.0,374.0,44.0,1.0,,NO,62,Jokko_Daily,42.0,0
0000e774b6e4c5df530c2dca979f8662ff695e07,THIES,K > 24 month,11450.0,27.0,11448.0,3816.0,30.0,130.0,531.0,84.0,143.0,,,NO,62,MIXT:500F= 2500F on net _2500F off net;2d,12.0,0
0000f17ac6952b019f535d30790d1cb438bd60b4,DAKAR,K > 24 month,1000.0,2.0,1000.0,333.0,2.0,2412.0,,0.0,,,,NO,20,"Data: 200 F=100MB,24H",1.0,0
0000f597b71dd5b4b099936f94fabd503b8152b8,DAKAR,K > 24 month,5000.0,25.0,4980.0,1660.0,25.0,2665.0,6.0,2.0,3.0,,,NO,53,"Data: 200 F=100MB,24H",12.0,0
0000fe5ae46d696f27604fc70946b290277bff95,DAKAR,K > 24 month,3700.0,7.0,4399.0,1466.0,15.0,,3.0,22.0,9.0,,,NO,40,,,0
0001085fa377583efb614e846280edd173488d98,SAINT-LOUIS,K > 24 month,1700.0,4.0,1625.0,542.0,5.0,,40.0,20.0,1.0,,1.0,NO,43,All-net 500F=2000F;5d,2.0,0
00011cb55b2ef53f3559d672cbd55a1eb8d3cae1,,K > 24 month,24500.0,43.0,26250.0,8750.0,45.0,6.0,355.0,1322.0,501.0,,,NO,56,Jokko_Daily,43.0,0
00011f80bf0954f633c0767e5d8b04bfedd9eb66,DAKAR,K > 24 month,4000.0,8.0,4500.0,1500.0,9.0,0.0,33.0,114.0,5.0,,,NO,40,All-net 500F=2000F;5d,9.0,0
00012873b0a82e81b3155431769fa5ac0a8ac267,,K > 24 month,,,,,,,,,,,,NO,5,,,1
000130d3608d9f6cd7a951eb15bca73838a3a263,,K > 24 month,1000.0,1.0,1000.0,333.0,3.0,,4.0,51.0,1.0,,1.0,NO,19,All-net 500F=2000F;5d,1.0,0
